handle,variant metafield:custom.wd-picture,variant sku,variant command,ok
coordonne_aracne_daffodils_a00308_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/d8f2fded073f4b8fc789fefa5c785a09.jpg?v=1761776330,,MERGE,true
coordonne_aracne_daffodils_a00309_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/a243ec86abdccd466cf5150afadf1db8.jpg?v=1761776368,,MERGE,true
coordonne_aracne_donana_a00316_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/2b43561f1831ce94f2875a3a8ce13238.jpg?v=1761776401,,MERGE,true
coordonne_aracne_donana_a00317_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/d0277c3d615ef33c609e07a0207dea39.jpg?v=1761776427,,MERGE,true
coordonne_aracne_donana_a00318_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/74389248291776662218505c603e8958.jpg?v=1761776450,,MERGE,true
coordonne_aracne_edo_a00310_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/4f8ad95fb77cadb2f82df538415db4e3.jpg?v=1761776481,,MERGE,true
coordonne_aracne_edo_a00311_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/f090e1bc8c089b4c0b025924e5200019.jpg?v=1761776514,,MERGE,true
coordonne_aracne_edo_a00312_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/1f33c8d4d95c528e518f146d2eea74b2.jpg?v=1761776547,,MERGE,true
coordonne_aracne_garzas_a00319_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/f7d467893d483bf76fec7136124f63c5.jpg?v=1761776583,,MERGE,true
coordonne_aracne_garzas_a00320_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/065b602a87a89cef75d6f7c1c5b458d4.jpg?v=1761776618,,MERGE,true
coordonne_aracne_heoridas-a_a00336_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/3d5adf3aecdd4a5d128e174e04fc3ea4.jpg?v=1761776655,,MERGE,true
coordonne_aracne_heoridas-b_a00337_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/3586765486f52206f820a396dbe205c2.jpg?v=1761776690,,MERGE,true
coordonne_aracne_heoridas-c_a00338_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/ab1549de5013b5a23cd3aecb9c506c75.jpg?v=1761776720,,MERGE,true
coordonne_aracne_heoridas-d_a00339_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/eb8f86d18793c8df7b087e99ce3246c9.jpg?v=1761776757,,MERGE,true
coordonne_aracne_historical-map_a00325_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/d81111b6082450d6e0c4d55ac15f103c.jpg?v=1761776785,,MERGE,true
coordonne_aracne_kodo_a00322_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/f729c44423d13e035d9de13a56d728e9.jpg?v=1761776834,,MERGE,true
coordonne_aracne_koi_a00326_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/7cee74131a92db6f88533bdb057fa21d.jpg?v=1761776872,,MERGE,true
coordonne_aracne_lotus_a00313_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/1471f7b7fb660abc234f5fe953221e06.jpg?v=1761776898,,MERGE,true
coordonne_aracne_lotus_a00314_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/da6a19554cde1130f605a6255d90e295.jpg?v=1761776932,,MERGE,true
coordonne_aracne_manuela_a00323_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/7ffbb344a47ffc840beffe9d636fdc5a.jpg?v=1761776965,,MERGE,true
coordonne_aracne_manuela_a00324_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/2c5984f85cd5e6ad05c3c5afeb87f84c.jpg?v=1761776996,,MERGE,true
coordonne_aracne_minerva_a00304_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/fedc13c38d89f6ec9ddb698be8619469.jpg?v=1761777034,,MERGE,true
coordonne_aracne_minerva_a00305_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/45f8f6180fbc09acde44792a9f2b18ec.jpg?v=1761777066,,MERGE,true
coordonne_aracne_modular_a00342_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/2852f88a9df41101ba2c2731233506bb.jpg?v=1761777097,,MERGE,true
coordonne_aracne_modular_a00343_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/33eb8f03f9658e6c818ecd993cf751fc.jpg?v=1761777123,,MERGE,true
coordonne_aracne_mythical_a00300_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/8e1c8baf50336ee39fdc6bcf80aecbe9.jpg?v=1761777147,,MERGE,true
coordonne_aracne_mythical_a00301_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/15390f0775043500daf407bc112ea185.jpg?v=1761777182,,MERGE,true
coordonne_aracne_mythical_a00302_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/f3c07ec87b742e5034e2b3b41e99ceaa.jpg?v=1761777228,,MERGE,true
coordonne_aracne_mythical_a00303_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/b4b85961f15639a59071441a59b54860.jpg?v=1761777274,,MERGE,true
coordonne_aracne_olympus_a00321_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/0232ccc19e910aa75e82d0580c785c6e.jpg?v=1761777317,,MERGE,true
coordonne_aracne_ovidio_a00306_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/3275a1f14c0187262fc0ccdd85ad0f52.jpg?v=1761777354,,MERGE,true
coordonne_aracne_ovidio_a00307_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/17575020bbee67441c4aebcbb08b5694.jpg?v=1761777398,,MERGE,true
coordonne_aracne_palma_a00328_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/65518b751f09e8858e1873e6082cadbb.jpg?v=1761777430,,MERGE,true
coordonne_aracne_pythagoras_a00340_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/7175caf5d57b657f4aead339ab245838.jpg?v=1761777468,,MERGE,true
coordonne_aracne_pythagoras_a00341_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/f5e0543f71fe62e3bb6592e0ce0e64db.jpg?v=1761777493,,MERGE,true
coordonne_aracne_ruins_a00329_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/ea09e5d4e6ae50131572cc8b2801103d.jpg?v=1761777516,,MERGE,true
coordonne_aracne_ruins_a00330_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/154d54d093df86e9e06de5838cee3c77.jpg?v=1761777556,,MERGE,true
coordonne_aracne_sand-waves_a00331_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/e672620cd2f33fdeaf21e33324776d98.jpg?v=1761777593,,MERGE,true
coordonne_aracne_sand-waves_a00332_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/813c6b5851281741f921cabf890d9878.jpg?v=1761777622,,MERGE,true
coordonne_aracne_taj-mahal_a00333_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/fcfff23c34157966bc06ed614a19f54b.jpg?v=1761777653,,MERGE,true
coordonne_aracne_taj-mahal_a00334_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/da3290c068ecd14ac98c48154fb94b60.jpg?v=1761777687,,MERGE,true
coordonne_aracne_waves_a00335_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/e5eb24fce2f8faa9693b1b352691e26b.jpg?v=1761777726,,MERGE,true
coordonne_aracne_zeus_a00327_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/13d46764fc450cda5edb026543e6c0b8.jpg?v=1761777759,,MERGE,true
coordonne_feria_ana_a00223_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/face64ba51645b135db58f7642e204c4.jpg?v=1761777819,,MERGE,true
coordonne_feria_ana_a00224_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/a97b442081a6fbfda7055635166d866c.jpg?v=1761777859,,MERGE,true
coordonne_feria_ana_a00225_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/249fad8f54abb898793a9d188d312081.jpg?v=1761777889,,MERGE,true
coordonne_feria_ana_a00226_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/bcabbf86c642d4386e59f63d585e4baf.jpg?v=1761777917,,MERGE,true
coordonne_feria_ana_a00227_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/6b19e507379f8a4abd45f05cff6ee397.jpg?v=1761777948,,MERGE,true
coordonne_feria_ana_a00228_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/5a889cf3514b24fed9dd66f61f034ebf.jpg?v=1761777974,,MERGE,true
coordonne_feria_antonio_a00251_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/5994b1f9233f04ed1ff0adc0d2a36691.jpg?v=1761778004,,MERGE,true
coordonne_feria_antonio_a00252_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/574813e1a841dbaa36d4750cc3684f68.jpg?v=1761778024,,MERGE,true
coordonne_feria_antonio_a00253_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/1b4030eb97f0b17a41b9ade8fb1444aa.jpg?v=1761778042,,MERGE,true
coordonne_feria_antonio_a00254_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/bc7e61da0499a8afc34de3bcee41450a.jpg?v=1761778061,,MERGE,true
coordonne_feria_antonio_a00255_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/a064ac08671ca8b404cbe755718f2936.jpg?v=1761778079,,MERGE,true
coordonne_feria_antonio_a00256_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/3ad9cdde5b6994b964c853d523d0595a.jpg?v=1761778098,,MERGE,true
coordonne_feria_antonio_a00257_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/a8d402642572008fbabe4495f8145628.jpg?v=1761778117,,MERGE,true
coordonne_feria_antonio_a00258_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/83733ea9e4907de82d062cf8d60495bc.jpg?v=1761778134,,MERGE,true
coordonne_feria_antonio_a00259_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/c5710ff7672281660f0f62d5d9f5c850.jpg?v=1761778153,,MERGE,true
coordonne_feria_candela_a00229_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/202adb7acc32cb364721ce6b70b5c20f.jpg?v=1761778171,,MERGE,true
coordonne_feria_candela_a00230_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/17a077a755b9eb7423dad2b0d4b4265b.jpg?v=1761778197,,MERGE,true
coordonne_feria_candela_a00231_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/6a4be6dc94abc96c66b1f687250ff8ac.jpg?v=1761778221,,MERGE,true
coordonne_feria_candela_a00232_x,https://cdn.shopify.com/s/files/1/0947/6436/8219/files/7c40942e2b5ad854319830bed9275ae9.jpg?v=1761778245,,MERGE,true
